profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake
0,0.03,2,3,0,45,0,0,604,442417,32,0
0,0.22,0,8,0,193,1,0,459,617889,284,0
0,0.7,2,4,0,65,1,0,94,398382,99,1
1,0.6,0,7,0,106,0,1,849,659176,633,1
0,0.7,0,10,0,84,0,0,887,105907,389,1
1,0.64,2,2,1,100,0,1,718,982153,699,0
0,0.53,1,2,1,107,1,0,701,340035,863,0
0,0.82,2,6,1,26,0,1,217,687277,511,1
1,0.14,1,3,1,159,1,1,370,229974,141,1
0,0.76,0,2,0,184,1,0,394,400156,610,1
1,0.97,0,10,0,184,1,1,114,307757,445,0
1,0.0,2,8,0,139,0,1,861,669987,519,0
0,0.37,1,8,0,163,1,1,19,117301,951,1
1,0.24,1,9,0,31,1,0,778,558582,784,0
0,0.66,1,4,1,64,0,1,408,704314,665,1
1,0.9,3,1,0,67,0,1,21,616886,567,0
0,0.01,0,3,0,18,1,0,526,249565,285,1
0,0.54,3,3,1,114,0,0,99,690993,441,1
1,0.41,0,10,0,25,1,1,819,903529,111,0
0,0.19,3,2,1,56,1,1,255,916964,945,0
1,0.81,0,0,0,33,0,0,416,509231,492,0
1,0.9,1,6,0,109,1,1,292,443555,713,1
0,0.19,1,0,0,90,0,0,598,499948,514,0
0,0.96,0,2,0,162,0,0,413,125710,964,0
0,0.62,3,10,1,76,0,1,244,278517,405,0
1,0.46,0,0,1,169,0,0,550,223508,518,1
0,0.93,0,3,1,82,0,1,853,569605,720,1
0,0.67,2,10,0,44,1,0,911,112235,760,0
1,0.28,1,5,0,185,1,1,257,949314,929,0
0,0.63,2,0,0,95,0,1,165,777236,452,1
0,0.11,1,8,0,104,0,1,130,43860,315,1
0,0.9,1,10,0,180,0,1,798,587080,905,1
0,0.93,1,2,0,115,0,0,754,969395,340,1
0,0.27,0,6,0,130,0,0,836,963066,471,1
1,0.82,1,3,0,178,0,1,336,292136,885,0
1,0.35,3,10,1,17,0,1,182,608792,985,1
0,0.11,3,5,1,121,0,1,921,604596,194,1
0,0.71,0,8,0,103,1,0,971,696503,942,1
1,0.66,0,4,1,180,1,1,412,731076,302,0
0,0.42,3,10,0,167,1,1,561,874224,0,1
1,0.21,2,7,1,123,0,1,812,944956,982,0
0,0.28,2,1,0,182,1,0,825,208802,150,0
0,0.24,3,9,0,126,1,0,735,730180,393,1
1,0.24,0,1,1,66,0,1,51,584482,255,0
1,0.13,3,10,1,123,1,1,918,166889,761,1
1,0.26,1,10,1,143,1,0,281,461239,79,1
